reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,EXAM_APPEAR,Remarks
YS-N24/53-5300001/2017,35,,,,,,,,,,,,,,,,,,,,N24,MADHYAGRAM YCTC,53,,,,,,,PASS
YS-N24/53-5100069/2017,37,,,,,,,62.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100069/2017,53,WB1002093100,07/06/2018,,,,,PASS
YS-N24/53-5300002/2017,35,,,,,,,52.0,26.0,,,,,,,,,,,B+,N24,NILGUNJ YCTC,53,WB1002101556,12/05/2018,,,,,PASS
YS-N24/53-3600380/2017,45,,,,,,,,,,,,54.0,28.0,,,,,,A,N24,YS-N24/51-3600380/2017,53,WB1002092834,31/08/2018,,,,,PASS
YS-N24/53-5100717/2017,32,,,,,,,66.0,30.0,,,,,,,,,,,A+,N24,YS-N24/51-5100717/2017,53,WB1002096154,13/04/2018,,,,,PASS
YS-N24/53-4100184/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/41-4100184/2014,53,,,,,,,PASS
YS-N24/53-5100046/2017,35,,,,,,,62.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100046/2017,53,WB1002101518,06/04/2018,,,,,PASS
YS-N24/53-5300003/2017,27,,,,,,,,,,,,,,,,,,,,N24,YS-N24/43-4300367/2015,53,,,,,,,PASS
YS-N24/53-5100109/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100109/2017,53,,,,,,,PASS
YS-N24/53-5100103/2017,35,,,,,,,63.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100103/2017,53,WB1002102702,26/03/2018,,,,,PASS
YS-N24/53-4900002/2017,45,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-4900002/2017,53,,,,,,,PASS
YS-N24/53-4800022/2017,45,,,,,,,,,,,,62.0,29.0,,,,,,A+,N24,YS-N24/51-4800022/2017,53,WB1002092566,02/04/2018,,,,,PASS
YS-N24/53-4900038/2017,45,,,,,,,,,,,,56.0,29.0,,,,,,A,N24,YS-N24/51-4900038/2017,53,WB1002092920,20/04/2018,,,,,PASS
YS-N24/53-4900121/2017,45,,,,,,,,,,,,51.0,29.0,,,,,,A,N24,YS-N24/51-4900121/2017,53,WB1002117836,11/06/2018,,,,,PASS
YS-N24/53-5300004/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300005/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100084/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100084/2017,53,,,,,,,PASS
YS-N24/53-5100104/2017,35,,,,,,,52.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100104/2017,53,WB1002117528,02/05/2018,,,,,PASS
YS-N24/53-5300006/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300007/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300008/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100619/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100619/2017,53,,,,,,,PASS
YS-N24/53-5100508/2017,35,,,,,,,55.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100508/2017,53,WB1002101016,11/06/2018,,,,,PASS
YS-N24/53-5100555/2017,35,,,,,,,59.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100555/2017,53,WB1002100414,24/03/2018,,,,,PASS
YS-N24/53-5100552/2017,35,,,,,,,62.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100552/2017,53,WB1002101094,24/03/2018,,,,,PASS
YS-N24/53-5100044/2017,35,,,,,,,59.0,23.0,,,,,,,,,,,A,N24,YS-N24/51-5100044/2017,53,WB1002101690,18/07/2018,,,,,PASS
YS-N24/53-5100478/2017,35,,,,,,,53.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100478/2017,53,WB1002122026,11/05/2018,,,,,PASS
YS-N24/53-5100477/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100477/2017,53,,,,,,,PASS
YS-N24/53-5100551/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100551/2017,53,,,,,,,PASS
YS-N24/53-5300009/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100022/2017,35,,,,,,,61.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100022/2017,53,WB1002117596,28/05/2018,,,,,PASS
YS-N24/53-5300010/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300011/2017,23,,45.0,26.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002097202,21/01/2021,,,PROMITA,,PASS
YS-N24/53-5300012/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300013/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-4900086/2017,45,,,,,,,,,,,,64.0,27.0,,,,,,A+,N24,YS-N24/51-4900086/2017,53,WB1002092396,24/03/2018,,,,,PASS
YS-N24/53-4900087/2017,45,,,,,,,,,,,,67.0,27.0,,,,,,A+,N24,YS-N24/51-4900087/2017,53,WB1002092660,24/03/2018,,,,,PASS
YS-N24/53-4900049/2017,45,,,,,,,,,,,,59.0,25.0,,,,,,A,N24,YS-N24/51-4900049/2017,53,WB1002092894,05/10/2018,,,,,PASS
YS-N24/53-5100484/2017,35,,,,,,,54.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100484/2017,53,WB1002162978,27/04/2018,,,,,PASS
YS-N24/53-5100423/2017,35,,,,,,,54.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100423/2017,53,WB1002104540,10/04/2018,,,,,PASS
YS-N24/53-5100437/2017,35,,,,,,,57.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100437/2017,53,WB1002104912,,,,,,PASS
YS-N24/53-5100441/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100441/2017,53,,,,,,,PASS
YS-N24/53-5100439/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100439/2017,53,,,,,,,PASS
YS-N24/53-5100425/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100425/2017,53,,,,,,,PASS
YS-N24/53-5100211/2017,35,,,,,,,48.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100211/2017,53,WB1002105042,07/05/2018,,,,,PASS
YS-N24/53-5100661/2017,35,,,,,,,55.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100661/2017,53,WB1002104876,17/04/2018,,,,,PASS
YS-N24/53-5100600/2017,35,,,,,,,52.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100600/2017,53,WB1002100450,07/05/2018,,,,,PASS
YS-N24/53-5100172/2017,35,,,,,,,55.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100172/2017,53,WB1002105796,05/05/2018,.,,,,PASS
YS-N24/53-5100146/2017,35,,,,,,,56.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100146/2017,53,WB1002105780,05/05/2018,,,,,PASS
YS-N24/53-5100284/2017,35,,,,,,,50.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100284/2017,53,WB1002105574,,,,,,PASS
YS-N24/53-5100232/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100232/2017,53,,,,,,,PASS
YS-N24/53-5100167/2017,35,,,,,,,61.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100167/2017,53,WB1002105076,11/04/2018,,,,,PASS
YS-N24/53-5100288/2017,35,,,,,,,60.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100288/2017,53,WB1002105766,24/03/2018,,,,,PASS
YS-N24/53-5100709/2017,35,,,,,,,62.0,28.0,,,,,,,,,,,A+,N24,YS-N24/51-5100709/2017,53,WB1002105744,24/03/2018,,,,,PASS
YS-N24/53-5100645/2017,35,,,,,,,56.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100645/2017,53,WB1002122068,23/04/2018,,,,,PASS
YS-N24/53-5100681/2017,35,,,,,,,44.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100681/2017,53,WB1002106486,26/05/2018,,,,,PASS
YS-N24/53-5100317/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100317/2017,53,,,,,,,PASS
YS-N24/53-5100515/2017,35,,,,,,,61.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100515/2017,53,WB1002105480,16/04/2018,,,,,PASS
YS-N24/53-5100375/2017,35,,,,,,,59.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100375/2017,53,WB1002105732,26/03/2018,,,,,PASS
YS-N24/53-5100373/2017,35,,,,,,,56.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100373/2017,53,WB1002105680,17/04/2018,,,,,PASS
YS-N24/53-5100304/2017,35,,,,,,,56.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100304/2017,53,WB1002105448,16/04/2018,,,,,PASS
YS-N24/53-5100344/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100344/2017,53,,,,,,,PASS
YS-N24/53-5100458/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100458/2017,53,,,,,,,PASS
YS-N24/53-5100468/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100468/2017,53,,,,,,,PASS
YS-N24/53-5100483/2017,35,,,,,,,66.0,27.0,,,,,,,,,,,A+,N24,YS-N24/51-5100483/2017,53,WB1002106358,16/04/2018,,,,,PASS
YS-N24/53-5100467/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100467/2017,53,,,,,,,PASS
YS-N24/53-5100622/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100622/2017,53,,,,,,,PASS
YS-N24/53-5100493/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100493/2017,53,,,,,,,PASS
YS-N24/53-5100486/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100486/2017,53,,,,,,,PASS
YS-N24/53-5100479/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100479/2017,53,,,,,,,PASS
YS-N24/53-5100492/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100492/2017,53,,,,,,,PASS
YS-N24/53-5100548/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100548/2017,53,,,,,,,PASS
YS-N24/53-5100659/2017,35,,,,,,,50.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100659/2017,53,WB1002116430,07/06/2018,,,,,PASS
YS-N24/53-5100624/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100624/2017,53,,,,,,,PASS
YS-N24/53-5100465/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100465/2017,53,,,,,,,PASS
YS-N24/53-5100303/2017,35,,,,,,,59.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100303/2017,53,WB1002105488,16/04/2018,,,,,PASS
YS-N24/53-5100330/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100330/2017,53,,,,,,,PASS
YS-N24/53-5100489/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100489/2017,53,,,,,,,PASS
YS-N24/53-5100407/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100407/2017,53,,,,,,,PASS
YS-N24/53-5100715/2017,35,,,,,,,60.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100715/2017,53,WB1002100308,07/05/2018,,,,,PASS
YS-N24/53-5100543/2017,35,,,,,,,64.0,27.0,,,,,,,,,,,A+,N24,YS-N24/51-5100543/2017,53,WB1002101114,24/03/2018,,,,,PASS
YS-N24/53-5100518/2017,35,,,,,,,54.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100518/2017,53,WB1002102782,24/05/2018,,,,,PASS
YS-N24/53-5100521/2017,35,,,,,,,53.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100521/2017,53,WB1002100498,17/04/2018,,,,,PASS
YS-N24/53-5100145/2017,35,,,,,,,57.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100145/2017,53,WB1002105160,18/05/2018,,,,,PASS
YS-N24/53-5100512/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100512/2017,53,,,,,,,PASS
YS-N24/53-5100513/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100513/2017,53,,,,,,,PASS
YS-N24/53-5100539/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100539/2017,53,,,,,,,PASS
YS-N24/53-5100547/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100547/2017,53,,,,,,,PASS
YS-N24/53-5100306/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100306/2017,53,,,,,,,PASS
YS-N24/53-5100155/2017,35,,,,,,,67.0,28.0,,,,,,,,,,,A+,N24,YS-N24/51-5100155/2017,53,WB1002105064,11/04/2018,,,,,PASS
YS-N24/53-5100141/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100141/2017,53,,,,,,,PASS
YS-N24/53-5100305/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100305/2017,53,,,,,,,PASS
YS-N24/53-5100347/2017,35,,,,,,,46.0,28.0,,,,,,,,,,,B+,N24,YS-N24/51-5100347/2017,53,WB1002162732,09/04/2018,,,,,PASS
YS-N24/53-5100363/2017,35,,,,,,,45.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100363/2017,53,WB1002105170,02/02/2019,,,,,PASS
YS-N24/53-5100427/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100427/2017,53,,,,,,,PASS
YS-N24/53-5100224/2017,35,,,,,,,59.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100224/2017,53,WB1002101492,02/05/2018,,,,,PASS
YS-N24/53-5100371/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100371/2017,53,,,,,,,PASS
YS-N24/53-5100168/2017,35,,,,,,,56.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100168/2017,53,WB1002105094,11/04/2018,,,,,PASS
YS-N24/53-5100134/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100134/2017,53,,,,,,,PASS
YS-N24/53-5100148/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100148/2017,53,,,,,,,PASS
YS-N24/53-5100162/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100162/2017,53,,,,,,,PASS
YS-N24/53-5100163/2017,35,,,,,,,59.0,29.0,,,,,,,,,,,A,N24,YS-N24/51-5100163/2017,53,WB1002100984,28/05/2018,,,,,PASS
YS-N24/53-5100179/2017,35,,,,,,,50.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100179/2017,53,WB1002105530,21/03/2018,,,,,PASS
YS-N24/53-5100158/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100158/2017,53,,,,,,,PASS
YS-N24/53-5100374/2017,35,,,,,,,59.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100374/2017,53,WB1002105610,17/04/2018,,,,,PASS
YS-N24/53-5100213/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100213/2017,53,,,,,,,PASS
YS-N24/53-5100195/2017,35,,,,,,,51.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100195/2017,53,WB1002105020,06/04/2018,,,,,PASS
YS-N24/53-5100194/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100194/2017,53,,,,,,,PASS
YS-N24/53-5100287/2017,35,,,,,,,52.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100287/2017,53,WB1002105540,30/04/2018,,,,,PASS
YS-N24/53-5100542/2017,35,,,,,,,54.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100542/2017,53,WB1002105110,,,,,,PASS
YS-N24/53-5100710/2017,35,,,,,,,52.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100710/2017,53,WB1002102744,,,,,,PASS
YS-N24/53-5300014/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300015/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300016/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300017/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300018/2017,25,,54.0,28.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002098016,19/04/2018,,,PROMITA,,PASS
YS-N24/53-5100212/2017,35,,,,,,,57.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100212/2017,53,WB1002100476,15/06/2018,,,,,PASS
YS-N24/53-5100559/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100559/2017,53,,,,,,,PASS
YS-N24/53-5100558/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100558/2017,53,,,,,,,PASS
YS-N24/53-5100301/2017,35,,,,,,,47.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100301/2017,53,WB1002102794,24/05/2018,,,,,PASS
YS-N24/53-5100319/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100319/2017,53,,,,,,,PASS
YS-N24/53-5100528/2017,35,,,,,,,55.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100528/2017,53,WB1002100738,25/04/2018,,,,,PASS
