reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/59-5900120/2019,25,L,ADITA,,,YS-N24/61-5900120/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900104/2019,25,L,ADITA,,,YS-N24/61-5900104/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5700079/2019,35,L,ADITA,,,YS-N24/61-5700079/2019,ADITA,45052,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900099/2019,25,L,ADITA,,,YS-N24/61-5900099/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900098/2019,25,L,ADITA,,,YS-N24/61-5900098/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900091/2019,25,L,ADITA,,,YS-N24/61-5900091/2019,ADITA,35051,,,,,,,61,A,,N24,saheli
YS-N24/59-5900168/2019,25,L,ADITA,,,YS-N24/61-5900168/2019,ADITA,35051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900142/2019,25,L,ADITA,,,YS-N24/61-5900142/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700039/2019,35,L,ADITA,,,YS-N24/61-5700039/2019,ADITA,45052,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900040/2019,25,L,ADITA,,,YS-N24/61-5900040/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5900087/2019,23,L,ADFAS,,,YS-N24/61-5900087/2019,ADFAS,33051,,,,,,,61,A,,N24,saheli
YS-N24/59-5600166/2019,35,L,ADITA,,,YS-N24/61-5600166/2019,ADITA,45051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900140/2019,25,L,ADITA,,,YS-N24/61-5900140/2019,ADITA,35051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900111/2019,25,L,ADITA,,,YS-N24/61-5900111/2019,ADITA,35051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900070/2019,25,L,ADITA,,,YS-N24/61-5900070/2019,ADITA,35052,,,,,,,61,A,,N24,saheli
YS-N24/59-5700025/2019,35,L,ADITA,,,YS-N24/61-5700025/2019,ADITA,45051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5700004/2019,35,L,ADITA,,,YS-N24/61-5700004/2019,ADITA,45051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5700190/2019,33,L,ADFAS,,,YS-N24/61-5700190/2019,ADFAS,43051,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900127/2019,25,L,CFAS(LAT),,,YS-N24/62-6200083/2019,CFAS(LAT),23001,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900156/2019,25,L,ADITA,,,YS-N24/61-5900156/2019,ADITA,35054,,,,,,,61,A,,N24,saheli
YS-N24/59-5900136/2019,25,L,CFAS(LAT),,,YS-N24/62-6200082/2019,CFAS(LAT),23001,,,,,,,61,A,,N24,saheli
YS-N24/59-5900129/2019,25,L,CFAS(LAT),,,YS-N24/62-6200081/2019,CFAS(LAT),23001,,,,,,,61,A,,N24,PROMITA
YS-N24/59-5900137/2019,25,L,ADITA,,,YS-N24/61-5900137/2019,ADITA,35054,,,,,,,61,A,,N24,saheli
YS-N24/59-5500012/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500072/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700111/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700142/2019,35,,CDTP(LAT),,,YS-N24/60-6000273/2019,CDTP(LAT),22001,,,,,,,,A,Y,,cic
YS-N24/59-5500065/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500059/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500018/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500060/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500003/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5300059/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700027/2019,32,,ADDTP,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700016/2019,35,,ADITA,,,YS-N24/61-5700016/2019,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/59-5700005/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700051/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-3900044/2019,45,,CDTP(LAT),,,YS-N24/6000235/2019,CDTP(LAT),22001,,,,,,,,A,N,,cic
YS-N24/59-5500009/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700166/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700042/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700010/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700032/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500122/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500025/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500015/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500035/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500042/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700127/2019,35,,CDTP(LAT),,,YS-N24/60-6000352/2019,CDTP(LAT),22001,,,,,,,,A,Y,,cic
YS-N24/59-5700110/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700109/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500053/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500068/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500067/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700033/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700162/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700014/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700023/2019,35,,ADITA,,,YS-N24/61-5700023/2019,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/59-5700073/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700143/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700067/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700185/2019,32,,ADDTP,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700177/2019,32,,ADDTP,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700101/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700053/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700119/2019,33,,ADFAS,,,YS-N24/61-5700119/2019,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/59-5500054/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700060/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700050/2019,35,,ADITA,,,YS-N24/61-5700050/2019,ADITA,45051,,,,,,,,A,Y,,PROMITA
YS-N24/59-5700093/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700022/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700021/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500104/2019,42,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500019/2019,42,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500010/2019,42,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500029/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700178/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700020/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700028/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700013/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700146/2019,35,,ADITA,,,YS-N24/61-5700146/2019,ADITA,45051,,,,,,,,A,Y,,PROMITA
YS-N24/59-5700031/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500098/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500094/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700131/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700132/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700124/2019,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500092/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500005/2019,42,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700012/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700121/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700122/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700035/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500080/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700009/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700015/2019,35,,ADITA,,,YS-N24/61-5700015/2019,ADITA,45051,,,,,,,,A,Y,,PROMITA
YS-N24/59-5700085/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500263/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-4700470/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700086/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700094/2019,33,,ADFAS,,,YS-N24/61-5700094/2019,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/59-5700090/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700081/2019,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700102/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500127/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500178/2019,45,,CDTP(LAT),,,YS-N24/60-6000236/2019,CDTP(LAT),22001,,,,,,,,A,N,,cic
YS-N24/59-5200310/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500250/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700071/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5200332/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500594/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500134/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700128/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500541/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500152/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500050/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500160/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500180/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500159/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700066/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700103/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500110/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500467/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500158/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700156/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700095/2019,33,,ADFAS,,,YS-N24/61-5700095/2019,ADFAS,43051,,,,,,,,A,Y,,PROMITA
YS-N24/59-5500195/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5700152/2019,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5500460/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500601/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500034/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500174/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500268/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500228/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500267/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500192/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500266/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500269/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500554/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5900004/2019,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5200294/2019,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500212/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5900005/2019,25,,ADITA,,,YS-N24/61-5900005/2019,ADITA,35053,,,,,,,,A,Y,,PROMITA
YS-N24/59-5900006/2019,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/59-5700139/2019,33,,ADFAS,,,YS-N24/61-5700139/2019,ADFAS,43051,,,,,,,,A,Y,,PROMITA
YS-N24/59-5500089/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500103/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500102/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500128/2019,45,,CDTP(LAT),,,YS-N24/60-6000368/2019,CDTP(LAT),22001,,,,,,,,A,N,,cic
YS-N24/59-5500501/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5500448/2019,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/59-5900257/2019,25,,ADITA,,,YS-N24/61-5900257/2019,ADITA,35051,,,,,,,,B,Y,,PROMITA
YS-N24/59-5900258/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900259/2019,25,,ADITA,,,YS-N24/61-5900259/2019,ADITA,35053,,,,,,,,B,Y,,saheli
YS-N24/59-5900260/2019,25,,ADITA,,,YS-N24/69-5900260/2022,ADITA,35052,,,,,,,,B,Y,,cic
YS-N24/59-5900261/2019,25,,CFAS(LAT),,,YS-N24/69-6900308/2022,CFAS(LAT),23052,,,,,,,,B,Y,,saheli
YS-N24/59-5900262/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900263/2019,25,,ADITA,,,YS-N24/61-5900263/2019,ADITA,35055,,,,,,,,B,Y,,saheli
YS-N24/59-5900264/2019,25,,ADITA,,,YS-N24/61-5900264/2019,ADITA,35057,,,,,,,,B,Y,,PROMITA
YS-N24/59-5900265/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900266/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900267/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900268/2019,25,,ADITA,,,YS-N24/61-5900268/2019,ADITA,35056,,,,,,,,B,Y,,PROMITA
YS-N24/59-5900269/2019,25,,ADITA,,,YS-N24/61-5900269/2019,ADITA,35054,,,,,,,,B,Y,,saheli
YS-N24/59-5900270/2019,25,,ADITA,,,YS-N24/61-5900270/2019,ADITA,35056,,,,,,,,B,Y,,PROMITA
YS-N24/59-5900271/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900272/2019,25,,ADITA,,,YS-N24/61-5900272/2019,ADITA,35056,,,,,,,,B,Y,,PROMITA
YS-N24/59-5900273/2019,25,,ADITA,,,YS-N24/61-5900273/2019,ADITA,35058,,,,,,,,B,Y,,PROMITA
YS-N24/59-5900274/2019,25,,ADITA,,,YS-N24/61-5900274/2019,ADITA,35052,,,,,,,,B,Y,,saheli
YS-N24/59-5900275/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900276/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900277/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900278/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900279/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900280/2019,25,,ADITA,,,YS-N24/61-5900280/2019,ADITA,35055,,,,,,,,B,Y,,PROMITA
YS-N24/59-5900281/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900282/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900283/2019,25,,ADITA,,,YS-N24/61-5900283/2019,ADITA,35052,,,,,,,,B,Y,,saheli
YS-N24/59-5900284/2019,25,,ADITA,,,YS-N24/61-5900284/2019,ADITA,35054,,,,,,,,B,Y,,PROMITA
YS-N24/59-5900285/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900286/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900287/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
YS-N24/59-5900288/2019,25,,ADITA,,,,,,,,,,,,,B,Y,,cic
